江西电信4K,#genre#
西藏卫视HD,http://publiciptv.dynv6.net:12345/udp/239.252.219.106:5140
贵州卫视HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.190:5140
辽宁卫视HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.62:5140
重庆卫视HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.94:5140
陕西卫视,http://publiciptv.dynv6.net:12345/udp/239.252.219.105:5140
青海卫视,http://publiciptv.dynv6.net:12345/udp/239.252.219.46:5140
黑龙江卫视HD,http://publiciptv.dynv6.net:12345/udp/239.252.219.211:5140
书画,http://publiciptv.dynv6.net:12345/udp/239.252.219.99:5140
优优宝贝,http://publiciptv.dynv6.net:12345/udp/239.252.220.219:5140
CCTV8HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.201:5140
嘉佳卡通,http://publiciptv.dynv6.net:12345/udp/239.252.219.92:5140
四海钓鱼,http://publiciptv.dynv6.net:12345/udp/239.252.220.214:5140
国学,http://publiciptv.dynv6.net:12345/udp/239.252.219.162:5140
国学,http://publiciptv.dynv6.net:12345/udp/239.252.220.157:5140
地理,http://publiciptv.dynv6.net:12345/udp/239.252.220.207:5140
墨宝,http://publiciptv.dynv6.net:12345/udp/239.252.219.168:5140
好学生,http://publiciptv.dynv6.net:12345/udp/239.252.220.90:5140
家庭影院,http://publiciptv.dynv6.net:12345/udp/239.252.220.86:5140
家庭理财,http://publiciptv.dynv6.net:12345/udp/239.252.220.217:5140
少儿动画,http://publiciptv.dynv6.net:12345/udp/239.252.220.136:5140
山东教育,http://publiciptv.dynv6.net:12345/udp/239.252.219.74:5140
快乐垂钓HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.177:5140
戏曲,http://publiciptv.dynv6.net:12345/udp/239.252.219.163:5140
收视指南,http://publiciptv.dynv6.net:12345/udp/239.252.220.144:5140
文物宝库HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.158:5140
新动漫,http://publiciptv.dynv6.net:12345/udp/239.252.220.132:5140
早教,http://publiciptv.dynv6.net:12345/udp/239.252.219.164:5140
星影,http://publiciptv.dynv6.net:12345/udp/239.252.220.210:5140
梨园HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.179:5140
武术,http://publiciptv.dynv6.net:12345/udp/239.252.220.203:5140
武术世界HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.180:5140
求索记录HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.224:5140
汽摩,http://publiciptv.dynv6.net:12345/udp/239.252.220.181:5140
法治天地,http://publiciptv.dynv6.net:12345/udp/239.252.219.56:5140
炫动卡通,http://publiciptv.dynv6.net:12345/udp/239.252.219.43:5140
爱体育,http://publiciptv.dynv6.net:12345/udp/239.252.220.141:5140
爱体育HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.211:5140
爱大剧,http://publiciptv.dynv6.net:12345/udp/239.252.220.143:5140
爱生活,http://publiciptv.dynv6.net:12345/udp/239.252.220.89:5140
爱电影,http://publiciptv.dynv6.net:12345/udp/239.252.220.142:5140
爱综艺,http://publiciptv.dynv6.net:12345/udp/239.252.220.140:5140
环球奇观,http://publiciptv.dynv6.net:12345/udp/239.252.220.135:5140
环球旅游,http://publiciptv.dynv6.net:12345/udp/239.252.220.218:5140
生态环境,http://publiciptv.dynv6.net:12345/udp/239.252.220.216:5140
生活时尚,http://publiciptv.dynv6.net:12345/udp/239.252.219.54:5140
百姓健康,http://publiciptv.dynv6.net:12345/udp/239.252.219.146:5140
精选,http://publiciptv.dynv6.net:12345/udp/239.252.219.161:5140
纪实人文HD,http://publiciptv.dynv6.net:12345/udp/239.252.219.227:5140
经典电影,http://publiciptv.dynv6.net:12345/udp/239.252.220.139:5140
芒果跨年云监工,http://publiciptv.dynv6.net:12345/udp/239.252.219.187:5140
茶HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.160:5140
解密,http://publiciptv.dynv6.net:12345/udp/239.252.220.209:5140
证券服务,http://publiciptv.dynv6.net:12345/udp/239.252.219.144:5140
财富天下,http://publiciptv.dynv6.net:12345/udp/239.252.220.240:5140
足球,http://publiciptv.dynv6.net:12345/udp/239.252.220.205:5140
车迷,http://publiciptv.dynv6.net:12345/udp/239.252.220.215:5140
金鹰卡通HD,http://publiciptv.dynv6.net:12345/udp/239.252.219.69:5140
金鹰纪实HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.155:5140
鉴赏,http://publiciptv.dynv6.net:12345/udp/239.252.219.166:5140
陶瓷HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.243:5140
南昌地区,#genre#
江西都市频道HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.238:5140
江西公共农业频道HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.102:5140
江西少儿频道HD,http://publiciptv.dynv6.net:12345/udp/239.252.219.113:5140
江西影视旅游频道HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.242:5140
江西教育频道HD,http://publiciptv.dynv6.net:12345/udp/239.252.219.115:5140
江西新闻频道HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.100:5140
江西移动电视频道HD,http://publiciptv.dynv6.net:12345/udp/239.252.220.241:5140
江西经济生活频道HD,http://publiciptv.dynv6.net:12345/udp/239.252.219.173:5140
南昌2都市,http://publiciptv.dynv6.net:12345/udp/239.252.220.248:5140
南昌3资讯,http://publiciptv.dynv6.net:12345/udp/239.252.220.249:5140
赣州新闻,http://publiciptv.dynv6.net:12345/udp/239.252.220.252:5140
赣州经济,http://publiciptv.dynv6.net:12345/udp/239.252.220.253:5140
赣州科教,http://publiciptv.dynv6.net:12345/udp/239.252.220.254:5140
